label,title,content
2,ikipe y’ u rwanda amavubi yahesheje u rwanda agaciro itsinda benin -,uyu mukino wabaye itariki ukwakira gihe ikipe y’u rwanda neza n’ubwo yatsinda mukino itazajya mikino nyuma guhatanira igikombe yatsinze igitego - igitego cyabonetse munota gatandatu w’umukino gitsinzwe meddie kagere muri tsinda ryarimo andi makipe abiri u burundi ivory coast ivory coast yatsinze u burundi ibitego - ikipe y’u rwanda ikaba yarabashije gutahukana ishema ry’ u rwanda kugarurira ikizere abanyarwanda kuko yegukanye umwanya kabiri n’amanota gusa ivory coast ikaba yarigaragaje cyane kuko irusha u rwanda amanota mutijima abu bernard
11,urubyiruko itorero erc giterane cy’ububyutse kiyobowe apostle joshua masasu,urubyiruko itorero ry’ivugabutumwa n’isanamitima rwanda evangelic restoration church paruwasi nyarutarama rukomeje igiterane cy’ububyutse n’ivugabutumwa aho urubyiruko rusabwa kuba igitambo gishimwa n’imana kandi rugatumbira yesu kristo buzima bwabo buri munsi iki giterane gifite insanganyamatsiko igira iti boneza amaso imbere yawe ugumye uhatumbire kandi utunganye inzira z’ibirenge byawe kugira ube igitambo gihindura umuryango nsanganyamatiko imigani - iki giterane gikomeje kuzamo abavugabutumwa basizwe amavuta ndetse n’abahanzi bahimbaza imana iki giterane cyatangiye tariki nzeri kugeza tariki ukwakira kibaba kibera i nyarutarama kabuga ahari uru rusengero iki giterane cy’ububyutse kiba buri munsi saa kumi kugeza saa moya n’igice z’ijoro minsi y’imibyizi ndetse saa munani z’amanywa kugeza saa moya n’igice z’ijoro minsi minsi y’isoza icyumweru weekend umushumba erc nyarutarama pastor seruhungo alphonse yavuze giterane gifite intego kwegereza urubyiruko imana ndetse kugira urubyiruko rwegere imana runakire agakiza babere ibitambo imiryango nayo ihinduke ubwo yatangizaga giterane mugaragaro apostle masasu joshua yavuze urubyiruko rufite imbaraga zihagije buryo babishatse bakorera imana neza kandi yatanze ubuhamya bw’uko yatangiye gukorera imana akiri muto myaka gusa yasenze akaba igitambo gishimwa n’imana apostle masasu yagize nkirangiza icyiciro mbere kaminuza nari mfite gusa imyaka nibwo natangiye gukorera imana namwe ndabasaba kwegera imana kuyikorera mukiri bato mufite imbaraga kandi muzabona imigisha myinshi buzima bwanyu umuyobozi w’urubyiruko rusengera erc nyarutarama mwamini zainabu avuga giterane kizakomeza kuba bihe bitandukanye kugira urubyiruko rutandukanye rurusheho kubona umwanya kongera ubusabane bwabo n’imana abavugabutumwa basizwe babwirije urubyiruko barimo apostle joshua masasu pastor ngoga innocent pastor seruhungo alphonse pastor masasu patrick pastor ruzindana jean marie pascale keza abahanzi kandi bazataramira abazitabira igitaramo harimo patient bizimana gabby irene kamanzi liliane kabaganza serge iyamuremye nelson mucyo arsene tuyi kaneza deborah ndetse hari n’abandi bahanzi benshi worship teams zitandukanye harimo total praise worship team erc nyarutarama hakoreshwa uburyo bwose kuramya guhimbaza drama team shining stars apostle joshua masasu iburyo pastor seruhugo hagati hirya hari maman pastor iribagiza rose patient bizimana inyuma urubyiruko erc nyarutarama kuramya guhimbaza magnifique migisha yanditswe magnifique migisha
4,rusizi bambaye udupfukamunwa n’ubwo bamwe batarameya twambara neza,kuri kabiri tariki gicurasi urasanga isura nshya y’abantu bacaracara mihanda y’umurenge nyakabuye karere rusizi bambaye udupfukamunwa ukabona wagirango n’impuzankano bahuriyeho bamwe baturage batuye murenge baravuga bakiriye gahunda kwirinda bakoresheje agapfukamunwa bakavuga babyishimiye rwego kwirinda kurinda abandi rundi ruhande hari ababangamiwe kukambara kuko usanga ubwambere bagakoresheje ariko bazarushaho kubimenyera kuko ubundi umuti urura niwo ukiza indwara umwe bacuruzi bakorera centre nyakabuye witwa semana jervais wavuganye muhabura rw yabwiye umunyamakuru yaba umugurira kandi ugurisha bagomba kuba bambaye udupfukamunwa rwego kwirinda yagize atikwirinda biruta kwivuza ntabwo umuntu yabura kwirinda yambara agapfukamunwa kagura y’u rwanda ukabura amagara hejuru kwanga kubahoriza amabwiriza kwirinda kurinda abandi dutahirize umugozi umwe twirinda tunarinda abandi kandi icyorezo tuzagitsinda umusaza nsabimana w’imyaka mirongo irindwi waganiriye n’umunyamakuru aje kugura kurya isoko nyakabuye rirema buri kabiri buri gatandatu yavuze yabyakiriye neza ariko akomeje kugorwa kukambara yagize atinibyo rwose kwirinda byiza gusa njye kukambara byangoye buryo bugaragara kuko nikintu ntarimenyereyekuvuga birikunanira nkanavuga cyane nibwira turikuvugana atarikunyumva mukeshimana claudine umucuruzi centre nyakabuye avuga agapfukamunwa gafasha kwirinda icyirezo coronavirus nkuko yagiye abibona ahandi agasanga intambwe itewe n’akarere rusizi n’igihugu rusange yagize atino bushinwa usanga abantu benshi batwambaye rwego kwirinda kurinda abandi kandi ariho iko cyorezo covid- cyatangiriye uburyo bwiza kwirinda kurinda abandibravo leta y’ubumwe ku ruhande rwabacuruza udupfukamunwa bavuga ntacyo batakoze hamwe n’abafatanyabikorwa kugirango buri muturage wese abe yagura agapfukamunwa kamurinda kakanarinda n’abandi uhagarariye urugaga rw’abikorera murenge nyakabuye bwana ndayisabye emmanuel avugana muhabura yavuze urebye agapfukamunwa kari kugura amafaranga aringaniye buryo rwitazo uvuga hari uwakabuze yagize atiamafaranga magana atanu si menshinku buryo hari uwazana urwitwazo kutakambara agapfukamunwa avuga gahenzerwose dufatanye dukumire cyorezo kuko ingamba ikomeye kdi ihamye kucyirinda icyi cyemezo kwambura udupfukamunwa giherutse gufatirwa nama y’abaministiri yafataga imyanzuro gukomeza kwirinda icyorezo covid- ndetse kukirinda abandiaho bavuze kandi buri munyarwanda wese agomva kwambara agapfukamunwa rwego kwirinda icyorezo covid- ibi kandi birashimangirwa n’itangazo ryashyizweho umukono ministiri w’ubucuruzi madame nyirahakuziyaremye suraya ruburira abanyarwanda umubare wabagomba gukorera isoko bangaba kandi ahamya ugura ndetse n’umucuruzi bagomba gutanga service kuyihabwa bambaye agapfukamunwa hirindwa ikwirakwiza ry’icyo cyirezo gihangayikishije u rwanda n’isi rusange denis fabrice nsengumuremyimuhaburarw
5,abanyarwanda batatu begukanye ibihembo pam awards,buri mwaka ibihembo bihembo bihabwa abaririmbyi uganda n’ibindi bihugu afurika y’iburasirazuba hakurikijwe ibyiciro baririmbamo muri rushanywa hahangana abaririmbyi baturuka gihugu kimwe kandi kiciro kimwe u rwanda rwahagarariwe n’ibyiciro bitatu ikiciro cy’umuririmbyi w’umugabo wigaragaje cyane ikiciro group cyangwa itsinda ry’abaririmbyi bigaragaje cyane ndetse n’ikiciro cy’umuririmbyi w’umukobwa wigaragaje cyane mu kiciro cy’umuririmbyi w’umugabo wigaragaje cyane rwanda abaririmbyi bane nibo bahanganye alpha rwirangira tom close rafiki kitoko igihembo cyegukanywe alpha rwirangira mu kiciro group cyangwa se itsinda ry’abaririmbyi bigaragaje cyane rwanda group enye nizo zari zihanganye the brothers just family dream boys urban boys dream boys niyo yatwaye igihembo mu kiciro cy’umuririmbyi w’umukobwa wigaragaje cyane rwanda hari hahanganye abakobwa bane aribo aline gahongayire liza kamikazi miss jojo miss chanelle igihembo cyaje gutwarwa miss jojo muri uganda abaririmbyi barimo radio weasel navio jose chameleone maurice kirya iryn namubiru bebe cool babonye ibihembo bitandukanye kidumu yabonye igihembo cy’umuririmbyi w’umugabo wigaragaje cyane burundi umuririmbyi jaguar kenya waririmbye indirimbo kigeugeu yatwaye igihembo cy’umuririmbyi w’umugabo wigaragaje kenya naho umuririmbyi ay tanzaniya atwara igihembo cy’umuririmbyi w’umugabo wigaragaje tanzaniya ibihembo bizwi izina pam awards biba buri mwaka uganda byatangiye mwaka gihe hahembwaga abaririmbyi uganda gusa guhera mwaka nibwo batangiye guhemba n’abandi baririmbyi baturuka bihugu afurika y’iburasirazuba abatwara ibihembo batorwa hifashishijwe itsinda ry’inzobere muzika ndetse kubara amajwi y’abantu batoye bifashishije interineti ndetse n’ubutumwa bugufi sms norbert niyizurugero
11,light family choir igiye gukora igitaramo cy’amateka yatumiyemo ambassadors of christ,korali light family ikorera umurimo w’ivugabutumwa itorero makoro ry’abadiventisite b’umunsi karindwi rikorera karere rubavu gutegura igitaramo kumurika volume y’indirimbo zikozwe majwi kizitabirwa n’abaririmbyi bakomeye ndetse n’amakorali anyuranye arimo ambassador of christ choir korali light family ikorera umurimo w’ivugabutumwa itorero makoro ry’abadiventisite b’umunsi karindwi rikorera karere rubavu gutegura igitaramo kumurika volume y’indirimbo zikozwe majwi kizitabirwa n’abaririmbyi bakomeye ndetse n’amakorali anyuranye arimo ambassador of christ choir iki gitaramo kiri gutegurwa n’iyi korali kizakorwa byiciro bibiri icya mbere kizabera i rubavu basangiza abakunzi ndirimbo zirimo ubutumwa bwiza ndetse icyiciro kabiri gikorerwe i kigali i nyamirambo rusengero rw’abadiventisite b’umunsi karindwi umuyobozi korali light family nzabonimpa augustin yabwiye ukwezicom giterane kigamije kongera guhura n’abakunzi bayo bakabasangira ndirimbo zabo nshya bazinyuza kumurika volume dvd gatandatu y’indirimbo z’amajwi n’iya ndirimbo z’amashusho yakomeje avuga igitaramo cyabo kizakorwa byiciro bibiri kimwe kizabera i rubavu n’icyiciro kabiri kizabera i kigali nyamirambo akomeza avuga gitaramo kizaba gikomeye cyane kuko cyatumiwemo abahanzi bakomeye barimo abazaturuka congo amakorali akomeye kandi akunzwe gihugu hanze yacyo yagize ni igitaramo gushyira ahagaragara dvd audio volume dvd y’amashusho volume kizaba buryo bubiri igitaramo mbere kizabera i gisenyi tariki uku kwezi igitaramo kabiri kibere i kigali nyamirambo itorero ry’abadiventisite tariki nzeri mwaka nzabonimpa augustin yanavuze intego y’igitaramo kigali harimo kwigaragariza abakunzi bagahura bagasabana ndetse bakanasangira ibyiza birimo indirimbo guhimbaza imana igitaramo nbere kizabera gisenyi tariki kanama kizitabirwa n’amakorali atandukanye nk’ abakurikiye yesu b’i kigali kacyiru ababimbuzi kacyiru hazaba hari korali abakanguzi congo hazaba hari hallellua familly choir gisenyi ndetse korali iwacu heza nayo ku gisenyi mu bahanzi giti cyabo bazitabira igitaramo mbere hazaba hari uwitwa fanuel w’i kigali jonathan congo igitaramo kabiri kizitabirwa korali ambassador of christ iyitwa ibyiza by’ijuro korali abahamya muhima new paradise choir kabeza ndetse korali abakurikiye yesu n’ababimbuzi umuyobozi korali light family augustin avuge kwinjira gitaramo bizaba ubuntu buri wese ariko bakaba bifuza inkunga mishanga gutegura kugura ibyuma bisobanutse bizajya bibafasha gutunganya umurimo w’imana buryo bugezweho korali light family yatangiye gukora umurimo w’imana tariki gashyantare ikaba imaze gusohora volume y’indirimbo z’amashusho volume ndirimbo z’amajwi iyi korali kugeza ifite abaririmbyi umuyobozi korali light family nzabonimpa augustin korali light family imaze imyaka ikora umurimo w’ivugabutumwa binyuze ndirimbo
1,saa niyo saha nziza gutera akabariro bashakanye,yifashishije science’ umwanditsi akaba n’inzobere bijyanye n’ubuzima muntu yagaragaje isaha nyayo ibereye gutera akabariro gukora imibonano mpuzabitsina bashakanye alisa vitti inzobere kubaza ibibazo akaba yarananditse igitabo kitwa womancode’ avuga isaha nziza gukora imibonano mpuzabitsina waba umugabo cyangwa umugore uvuga masaha umugabo cyangwa umugore afite ubushake gutera akabariro dore umusemburo witwa prolactin’ ugira uruhare mikorerwe y’intanga bagabo bagore uba wavubuye mpande zombi akomeza avuga musemburo witwa follicle-stimulating hormone’ utuma hakorwa amasohoro bagabo bagore ugatuma hakorwa igi rikura uba gukora neza masaha uyu mwanditsi yongeyeho ruhande rw’abagabo indi isaha nziza gukora imibonano mpuzabitsina gitindo kare ibi bigaterwa umugabo aryamye umubiri uvura cyane umusemburo testostrone’ utera ubushake gukora imibonano mpuzabitsina ubushake mugabo bwongera kuba bwinshi gicamunsi ndetse mugore akaba aribyo ashingiraho avuga saa isaha nziza gutera akabariro bashakanye
7,ibyo wamenya bifaru by’abarusiya bitabonwa radars’,igisirikare cy’igihugu cy’uburusiya cyamaze kugira ibifaru bubiko bwacyo bitabonwa n’ibyuma bigenzura ikirere radars ndetse ibinyamakuru bitandukanye bika byaramaze kubiha akabyiniriro invisible tanks ibifaru bitaboneka ubusanzwe bifaru byitwa t- armata bikoresha ikoranabuhanga rihambaye rituma bidashobora kubonwa radars z’abanzi nyuma y’aho minsi isi ibihugu bikomeza kurebana ay’ingwe ndetse ibihangange bikaba bihora byikanga intambara byahuriramo n’ibindi bihugu bifite intwaro zihambaye the sun dukesha nkuru itangaza vladimir putin perezida w’uburusiya yasabye hakorwa ibifaru t- armata bigera ijana nabyo kugeza igisirikare cy’uburusiya gitunze ikindi kidasanzwe bifaru bifite bishobora kurasa umwanzi km miles bikoresheje imbunda irasa ibisasu munota umwe kandi ishobora kwihindukiza ikarasa byerekezo byose igifaru t armata karasisi gicurasi mwaka kuba bifaru bitabonwa radars bibifashwamo n’uburyo bwitwa mantiya bwakorewe bifaru kubifasha guhisha igifaru abagikoresha ndetse n’ibindi bikoresho byose bifaru bikoresha t- armata ikurura waves’ radar y’umwanzi ikazica ingufu kuburyo bituma idakomeza kuyikurikirana cyangwa imenye inyuze t- armata kandi ifite ubushobozi kuba itaraswa n’ibisasu leta zunze ubumwe amerika javelin bikoresha uburyo gukurikirana ubushyuhe kugira birase umwanzi the sun kandi itangaza ibifaru t- armata bikubye inshuro kugira ikoranabuhanga ryisumbuyeho ubigereranyije abrams tank by’abanyamerika leclerc tank by’abafaransa cyangwa leopard by’abadage ibifaru bitabonwa radars byatangiye gukorwa leta zunze ubumwe amerika ubwongereza ubushinwa n’uburusiya bimwe bihugu byabanje kwinjira mushinga muri australia nayo yatangiye kwiga uburyo yakora ibifaru bitabonwa ariko ikongeraho gukora ibyihinduranya amabara bitewe n’aho bigeze kuburyo bitanaboneshwa ijisho nkuko uruvu ruhindura amabara yarwo bitewe n’aho rugeze ni umushinga gihugu kiri gufashwamo university of south australia the national interest itangaza nyuma yaho uburusiya bukoreye armata amerika nayo igiye gukora ikindi gifaru cyitwa ma sep v abrams gifite ikoranabuhanga ryisumbuyeho cyihuta kandi kinafite intwaro zihambaye byitezwe gifaru cyahawe akazina super char kizashyirwa mugaragaro ariko amakuru y’ibizaba bikigize aracyagizwe ibanga
2,arsenal yirukanye unai emery n’abari bamwungirije,kuri gatanu nibwo ikipe arsenal yatangaje yamaze gutandukana n’uwari umutoza wayo unai emery ndetse ajyana n’abari bamwungirije gutoza kipe mu itangazo arsenal yashyize ahagaragara bagize bati uyu munsi turatangaza icyemezo cyamaze gufatwa gutandukana n’umutoza mukuru unai emery ndetse n’abari bamwungirije josh kroenke wavuze izina arsenal banyirayo kroenke sportsentertainment yagize turashimira cyane unai bagenzi batahwemye gukoreshe bashoboye kose bagarure ikipe irushanwa rwego twifuzaga ndetse twabasabaga turifuriza unai n’abo bakorana intsinzi bihe biri imbere arsenal yifurije emery amahirwe bihe bye biri imbere nk’uko tangazo rikomeza ribisobanura cyemezo cyafashwe kubera umusaruro utari rwego mutoza yasabwaga gutanga kugeza kipe yashyizwe maboko freddie ljungberg usanzwe umwe bungirije unai emery wagizwe umutoza mukuru by’agateganyo bati dufitiye freddie icyizere cyuzuye kudufasha kuzamuka gushakisha umutoza mushya biracyakomeje kandi ibizavamo muzabitangarizwa gihe gikorwa kizaba cyarangiye freddie wahawe ikipe arsenal by’agateganyo freddi yatangiye kuba umutoza wungirije arsenal mwaka akaba n’umwe bakinnyi bayo b’igihe kirekire yayikiniye guhera kugeza nyuma akaza kuhava yerekeje west ham
5,wizkid yatumiwe n’ umuryango perezida awukorera private concert’ yishyurwa akayabo abaturage bashonje,wizkid umwe bahanzi bakunzwe cyane nigeria batunze amafaranga menshi yatumiwe gitaramo kihariye n’ umuryango perezida cameroon paul biya wizkid umwe bahanzi bakunzwe cyane nigeria batunze amafaranga menshi yatumiwe gitaramo kihariye n’ umuryango perezida cameroon paul biya icyatumye bimenyekana amafoto y’ umukobwa perezida biya kumwe wizikid wagiye ahagaragara akwirakwira mbuga nkoranyambaga uwo mukobwa yambaye akagabutura k’ ikoboyi gakufi cyane umupira w’ ingofero w’ irosa yanisize ibirungo nyongerabwiza muri gitaramo brenda biya wagize isabukuru y’ amavuko nyina chantal biya barirekuye babyinana n’ musitari nigeria barangije bamwishyura miliyoni z’ ama-cfa ahanywe n’ ibihumbi by’ amayero ukuvuga miliyoni zirenga mafaranga y’ u rwanda abakoresha imbuga nkoranyambaga cameroon bavuga muryango perezida wakoze ugusesagura gihe kuko cy’ abatuye cameroon inzara iranuma ntabwo ubwa mbere muryango utumiye abahanzi bawukorere igitaramo kihariye rugo perezida kuko singuila yagikoreyeyo isabukuru brenda biya mbere singuila koffi olomid yakoreye igitaramo uru rugo gusa amafaranga agenda gitaramo kihariye kibera rugo perezida ataratangazwa
2,basketball ikipe y’u rwanda u y’abahungu yatsinzwe csk,nubwo kipe yatsinzwe bigaragara yitwaye neza rwego rwayo kuko yakinnye n’abakinnyi bakomeye hano rwanda banasanzwe bakina ikipe y’igihugu nkuru barimo robert thompson n’abandi umutoza w’iyi kipe wungirije kalima cyrille avuga arebye kipe ihagaze n’imyitozo myinshi bamaze iminsi bakora asanga ifite ubushobozi kuzegukana umwanya mbere mikino y’akarere gatanu yagize mikino gicuti ifasha abakinnyi cyane kumenyera gukomera kandi natwe nk’abatoza bikadufasha kumenya tugomba gukosora ibi biduha icyizere dushobora kuzegukana igikombe kuko nayo ntego dufite ikipe y’u rwanda iratanga icyizere kuko hajemo n’abasore baturutse leta zunze ubwumwe amerika buryo usanga ikipe ifite ingufu biteganyijwe imikino y’akarere gatanu izitabirwa n’amakipe atandatu u rwanda kenya uganda tanzania ethiopia soudan amakipe atandatu bagabo bagore azaba ahatanira itike kuzajya mikino y’igikombe afurika cy’abatarengeje imyaka kizabera mozambique kugeza abakinnyi myitozo manzi ernest nestor karekezi rurangirwa pascal uwizeye placide rafiki muhamed uwimana sankara kubwimana kazingufu ali munyandamutsa niyomugabo sunny mugirangeza ruterana fabrice ndoli jean paul kaje elie shyaka olivier munyaneza eric niyonkuru pascal mugisha igor eric ngenzi scifon shyaka theoneste nisingizwe
